"name","title","phone","profile_pic","experience","stars","patients_handled","location","gender"
"Dr. Smita Patil","Dermatologist","9123456789","https://img.freepik.com/free-photo/young-beautiful-woman-pink-warm-sweater-natural-look-smiling-portrait-isolated-long-hair_285396-896.jpg","15","4.5","1100","Mumbai","Female"
"Dr. Anil Kumar","Dermatologist","9123456780","https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","10","4","900","Delhi","Male"
"Dr. Neha Sharma","Cardiologist","9123456791","https://img.freepik.com/free-photo/young-beautiful-woman-pink-warm-sweater-natural-look-smiling-portrait-isolated-long-hair_285396-896.jpg","20","4.8","1500","Bangalore","Female"
"Dr. Rajesh Verma","Cardiologist","9123456792","https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","12","4.3","1300","Chennai","Male"
"Dr. Priya Iyer","Pediatrician","9123456793","https://img.freepik.com/free-photo/young-beautiful-woman-pink-warm-sweater-natural-look-smiling-portrait-isolated-long-hair_285396-896.jpg","18","4.7","1400","Hyderabad","Female"
"Dr. Ravi Singh","Orthopedic Surgeon","9123456794","https://images.pexels.com/photos/415829/pexels-photo-415829.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","14","4.6","1200","Pune","Male"
"Dr. Ananya Sen","Gynecologist","9123456795","https://img.freepik.com/free-photo/portrait-young-beautiful-woman-with-long-hair_23-2148350785.jpg","16","4.7","1100","Kolkata","Female"
"Dr. Vikram Desai","Neurologist","9123456796","https://images.pexels.com/photos/3782097/pexels-photo-3782097.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","22","4.9","1600","Ahmedabad","Male"
"Dr. Meera Gupta","Oncologist","9123456797","https://img.freepik.com/free-photo/portrait-confident-woman_23-2148299322.jpg","19","4.8","1300","Mumbai","Female"
"Dr. Sanjay Kapoor","ENT Specialist","9123456798","https://images.pexels.com/photos/356372/pexels-photo-356372.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","11","4.4","1000","Delhi","Male"
"Dr. Arjun Reddy","Dermatologist","9123456799","https://images.pexels.com/photos/1704128/pexels-photo-1704128.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","9","4.2","800","Hyderabad","Male"
"Dr. Aditi Joshi","Endocrinologist","9123456800","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148292008.jpg","15","4.5","950","Pune","Female"
"Dr. Kunal Mehta","Pulmonologist","9123456801","https://images.pexels.com/photos/220453/pexels-photo-220453.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","13","4.4","850","Chennai","Male"
"Dr. Sneha Rao","Gastroenterologist","9123456802","https://img.freepik.com/free-photo/portrait-beautiful-young-woman_23-2148377992.jpg","17","4.6","1200","Bangalore","Female"
"Dr. Ashok Bansal","Nephrologist","9123456803","https://images.pexels.com/photos/1704127/pexels-photo-1704127.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","18","4.7","1100","Mumbai","Male"
"Dr. Preeti Kaur","Rheumatologist","9123456804","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148300251.jpg","12","4.3","900","Delhi","Female"
"Dr. Aman Sharma","Urologist","9123456805","https://images.pexels.com/photos/614810/pexels-photo-614810.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","10","4.1","700","Ahmedabad","Male"
"Dr. Ritu Deshmukh","Psychiatrist","9123456806","https://img.freepik.com/free-photo/portrait-beautiful-young-woman_23-2148378321.jpg","16","4.5","800","Pune","Female"
"Dr. Suresh Nair","Cardiologist","9123456807","https://images.pexels.com/photos/3778691/pexels-photo-3778691.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","20","4.8","1500","Chennai","Male"
"Dr. Kavita Nair","Neurologist","9123456808","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148292021.jpg","19","4.7","1300","Kolkata","Female"
"Dr. Mohan Das","Orthopedic Surgeon","9123456809","https://images.pexels.com/photos/461889/pexels-photo-461889.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","14","4.5","1100","Hyderabad","Male"
"Dr. Sanjana Agarwal","Dermatologist","9123456810","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148300082.jpg","8","4.2","600","Bangalore","Female"
"Dr. Raghav Mishra","Pediatrician","9123456811","https://images.pexels.com/photos/91227/pexels-photo-91227.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","18","4.7","1400","Delhi","Male"
"Dr. Seema Kapoor","Gynecologist","9123456812","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148378420.jpg","16","4.6","1300","Mumbai","Female"
"Dr. Arvind Rao","Pulmonologist","9123456813","https://images.pexels.com/photos/273937/pexels-photo-273937.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","13","4.3","900","Pune","Male"
"Dr. Reena Sinha","Ophthalmologist","9123456814","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148300205.jpg","15","4.6","1050","Bangalore","Female"
"Dr. Mohit Arora","Gastroenterologist","9123456815","https://images.pexels.com/photos/220453/pexels-photo-220453.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","17","4.5","1150","Chennai","Male"
"Dr. Rina Patel","Dermatologist","9123456816","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148378021.jpg","12","4.4","950","Ahmedabad","Female"
"Dr. Satish Kulkarni","Cardiologist","9123456817","https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","22","4.8","1550","Pune","Male"
"Dr. Alka Menon","Endocrinologist","9123456818","https://img.freepik.com/free-photo/portrait-confident-woman_23-2148299322.jpg","14","4.6","1000","Mumbai","Female"
"Dr. Varun Joshi","Orthopedic Surgeon","9123456819","https://images.pexels.com/photos/415829/pexels-photo-415829.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","13","4.5","950","Delhi","Male"
